Question ID,Sentence Position,Answer,is correct,Q score,IR score,join score,category,Wikipedia Score,Wikipedia Found,SearchWords,SearchFound,WikipediaLen
2390,0,carthage,1,0.0,4.46484593046,0.0754017927383,history,0.11848851738549701,1,8,,23.209
2390,0,maximilien_de_robespierre,0,0.0,1.91357333451,0.0350289180837,history,0.03485194892098366,1,8,,53.799
,peter_the_great,0,0.059341886748,0.0,0.00568644251298,history,0.04939084622983207,1,8,,30.37
2390,0,byzantine_empire,0,0.0,2.4800311556,0.0439928879254,history,0.08699702336338523,1,8,,93.394
2390,0,council_of_constance,0,0.0,2.38758166566,0.0425299114974,history,0.07115074471112798,1,8,,10.541
2390,0,charles_lindbergh,0,0.0,2.07650192779,0.0376071983054,history,0.03776177436487132,1,8,,102.617
2390,1,carthage,1,0.0103271463015,6.0041482036,0.0942803729224,history,0.12926020078417855,1,14,,23.209
2390,1,sparta,0,0.0,3.21965765926,0.050885821246,history,0.06774412077808961,1,14,,51.665
2390,2,carthage,1,0.0279183721093,6.40252637044,0.100758547881,history,0.08309584336125764,1,28,,23.209
2390,2,ivan_the_terrible,0,0.0,2.33985835051,0.0363060915161,history,0.03206728235848795,1,28,,41.208
2390,2,justinian_i,0,0.0147609749978,2.90020241217,0.0461780882441,history,0.04326563008184664,1,28,,47.877
2390,2,hittites,0,0.0111101876032,0.0,0.00427871250764,history,0.029773882760716543,1,28,,34.786
2390,3,carthage,1,0.120553743404,6.74579468525,0.138649237478,history,0.12926020078417855,1,40,,23.209
2390,3,tang_dynasty,0,0.00744622890744,0.0,0.00431575143766,history,0.041824186329465954,1,40,,92.052
2390,3,mali_empire,0,0.0105653164138,0.0,0.0043595353749,history,0.047277794366477555,1,40,,50.235
2390,3,emiliano_zapata,0,0.00776270285036,0.0,0.0043201939149,history,0.027587877482908973,1,40,,37.154
106503,0,congress_of_vienna,1,0.0,3.78992924717,0.0733354072066,history,0.046780664725727714,1,14,,25.957
106503,0,hannibal,0,0.0,1.99569596068,0.0411634989078,history,0.06961597764037933,1,14,,55.406
106503,1,congress_of_vienna,1,0.0258778274298,3.91160914684,0.0844011820561,history,0.06420875550590079,1,27,,25.957
106503,1,louisiana_purchase,0,0.0181037571314,1.72424021671,0.0395982965858,history,0.08073057945180707,1,27,,34.408
106503,2,congress_of_vienna,1,0.18004693222,7.0196528341,0.182248635331,history,0.05880170241066703,1,38,,25.957
106503,2,"arthur_wellesley,_1st_duke_of_wellington",0,0.0,1.63357546543,0.0300865565279,history,0.06511641367734093,1,38,,69.107
106503,2,konrad_adenauer,0,0.0,1.8486265234,0.0334327645905,history,0.056945214443464905,1,38,,185.312
106503,2,council_of_trent,0,0.0123860260616,0.0,0.00486074632186,history,0.05919261276192731,1,38,,25.341
106503,2,crimean_war,0,0.0,2.05246849713,0.0366045585934,history,0.05485220868611266,1,38,,59.49
106503,3,congress_of_vienna,1,0.224345119428,6.65354658301,0.183071093459,history,0.07267263691349679,1,44,,25.957
